;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;4.50113916384;0.0206538660261;0.393560342764;0.0073804411936;10.7091638965;10.0
1;0.2;4.43538303933;0.0105278487575;0.196247449585;0.00205693913674;17.0105745735;29.0
2;0.3;4.30766397645;0.00981645124729;0.200366309471;0.00183621254196;24.7618200275;30.0
3;0.4;4.42989875954;0.00442781107983;0.20208091845;0.000814069364137;30.1518079243;33.0
4;0.5;4.55676943582;0.0055433276249;0.213362736779;0.000992637161408;33.3106634155;32.0
5;0.6;4.63998611435;0.00968862257652;0.196340502259;0.0017495148047;35.5431890236;32.0
6;0.7;4.7381461531;0.0118481817061;0.198071422952;0.00236410487384;37.9797891498;28.0
7;0.8;4.92151562211;0.0138143889103;0.183545657541;0.00267563316599;39.4895332027;31.0
8;0.9;5.06980716263;0.00959182420924;0.168310620951;0.001815559894;39.0949075668;33.0
9;1.0;5.18748724869;0.0212817716613;0.198480173175;0.00481701488003;37.0636543996;25.0
10;1.1;5.30258330599;0.0109902087232;0.187147990787;0.00248926939549;36.2953929011;26.0
11;1.2;5.47024711732;0.0081854441863;0.187831051344;0.0019036121126;33.7815884488;24.0
12;1.3;5.47113224655;0.0074981267667;0.201118054996;0.00181870928443;31.7048787934;21.0
13;1.4;5.21575291567;0.00667411143496;0.200008218513;0.00147357304224;26.0873941282;23.0
14;1.5;4.81810521409;0.0222630778445;0.251138642316;0.00528061621135;17.4345841007;19.0
15;1.6;4.56569158739;0.0506456596858;0.263636120955;0.0112728054259;17.4518744713;18.0
16;1.7;4.48160986342;0.0384216885341;0.259442169997;0.00959110363096;46.9663438951;16.0
17;1.8;4.69417920953;0.055479668279;0.250946836843;0.0153817621975;74.3097087249;13.0
18;1.9;4.96286669262;0.00980738871098;0.257598562164;0.00265919130383;6.50095727761;14.0
19;2.0;5.22639416646;0.0233150299812;0.304330255823;0.00709394871848;10.9411023794;13.0
20;2.1;5.59841859416;0.0549508700474;0.313631667062;0.0164389657101;15.0601516756;13.0
21;2.2;6.05266039171;0.0664410930492;0.382557436266;0.0229387436771;26.2194995851;10.0
22;2.3;6.39207979113;0.0534722280855;0.400271880414;0.0183404406745;39.0999442725;10.0
23;2.4;6.48099404584;0.0858143395092;0.517465166434;0.039188658279;41.70368532;7.0
24;2.5;6.48849044367;0.0;2.16638382727;-9999;51.7039941406;1.0
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
