;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;9.42547165669;0.0446744379345;0.368315988983;0.00887618272876;112.748522666;28.0
1;0.2;10.0006689143;0.0315944276925;0.252662396322;0.0066097129304;99.574977011;32.0
2;0.3;9.77167009833;0.0228940501829;0.245573548274;0.00483732893787;92.96629646;32.0
3;0.4;9.4501340407;0.0294511812473;0.240339823338;0.00547644057311;87.7361680706;32.0
4;0.5;9.42613051458;0.0350267430052;0.227212696159;0.00697370282117;83.969146844;32.0
5;0.6;9.44424083932;0.0394772710833;0.230576156604;0.00796328861859;80.2160236128;30.0
6;0.7;9.73851873423;0.0288262961353;0.237135935754;0.00739631999909;76.2318724675;21.0
7;0.8;9.69688737257;0.0352263492993;0.235778813241;0.00851989363591;74.6639152849;24.0
8;0.9;9.35975593727;0.0251335245723;0.248718729564;0.00566325981687;73.2588757253;25.0
9;1.0;8.98230900472;0.0202419682352;0.325012018936;0.00540215649968;72.7034373772;20.0
10;1.1;8.36463497378;0.0229932607349;0.315676287512;0.00531590102945;72.7606634883;25.0
11;1.2;7.61657741398;0.019509123442;0.367987667802;0.00445277548072;74.5991129565;22.0
12;1.3;7.11128707965;0.0122894629302;0.374698296759;0.00295672911701;79.8049790591;20.0
13;1.4;6.7630051156;0.02100185806;0.386743962933;0.00500760142097;84.9746105744;21.0
14;1.5;6.62918276276;0.0523822769672;0.556426289919;0.0155616424122;95.4287663059;13.0
15;1.6;6.51761146713;0.0339499873921;0.520940161583;0.00969611444422;103.779985378;14.0
16;1.7;7.08543441507;0.0579622939186;0.576452971743;0.0188354532932;125.329202997;11.0
17;1.8;7.62778301245;0.0401246927818;0.687710297127;0.0163886294982;133.621302497;8.0
18;1.9;7.67401711046;0.0384939669316;0.7842166169;0.0185958989396;137.065619449;6.0
19;2.0;7.73945333004;0.00444361973037;0.760031728241;0.00213264156261;139.738660124;6.0
20;2.1;7.48463614412;0.00619707129503;0.945741379957;0.00425333302293;148.631174054;4.0
21;2.2;7.54649250555;0.0685545328736;1.09042611258;0.0455218768685;157.217011059;4.0
22;2.3;9.61212608187;0.239818359881;1.08209078333;0.153055894317;169.317168548;4.0
23;2.4;10.7117686422;0.258975698841;1.63369591514;0.358503267257;178.110955818;2.0
24;2.5;10.8550562873;0.902821864755;1.61153102189;1.23145429599;185.128661511;2.0
25;2.6;11.7959022297;0.0;1.7536621528;-9999;200.240303274;1.0
26;2.7;11.3826685225;0.0102792045421;1.64342268049;0.014524113208;218.074481531;2.0
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
