;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;12.2310331304;0.10456768331;0.534726782886;0.0270932276053;26.5443692297;20.0
1;0.2;12.7011134448;0.470733136991;0.374755108642;0.0930799446764;36.1099152456;28.0
2;0.3;13.9357245101;0.341900537376;0.343236147437;0.0736539287061;32.6975994606;27.0
3;0.4;13.4118735067;0.302200634227;0.346179431483;0.0653987414564;30.9605439861;28.0
4;0.5;12.5998496571;0.358596114777;0.356884684589;0.0924410341188;31.3632705654;23.0
5;0.6;11.5625693375;0.239593121745;0.345131678177;0.0607051683617;26.3283040448;21.0
6;0.7;10.5908355134;0.460562215932;0.366072366888;0.120500278669;39.9989472212;20.0
7;0.8;9.83087322744;0.322363274739;0.356510269562;0.0747419153326;26.1717002211;21.0
8;0.9;8.95708766097;0.451461153243;0.367622042918;0.107656465657;24.3998831519;20.0
9;1.0;8.21803003461;0.443346673604;0.493388162442;0.128197967685;25.8018276651;14.0
10;1.1;6.69731440159;0.034620722346;0.554428224076;0.0107543140322;29.7495770661;12.0
11;1.2;6.32320523469;0.159217112424;0.672416409553;0.0646511005921;28.4606763109;8.0
12;1.3;6.23595507065;0.0420982188957;1.16375813102;0.0360300785002;25.3238688091;3.0
13;1.4;6.21052245734;0.00313871775497;1.10202124708;0.00264004416953;27.7334390448;3.0
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;-9999;-9999;-9999;-9999;-9999;-9999;-9999
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
