;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;4.33234541102;0.0165044002083;0.460959960267;0.00666461493832;27.7158160548;8.0
1;0.2;4.28988502461;0.00779022732404;0.227556614958;0.00166368870491;29.2118453307;24.0
2;0.3;4.11775146027;0.00870713403492;0.199991319155;0.00173570761099;37.5723427594;27.0
3;0.4;4.28332909436;0.00281767776302;0.20431455404;0.000536491666652;43.3000463328;30.0
4;0.5;4.39192870943;0.00103709902571;0.203778282938;0.000196834725729;44.5369334833;30.0
5;0.6;4.54192167323;0.00218199269101;0.203816245516;0.000411818751841;42.6374252052;30.0
6;0.7;4.67804204895;0.00311578342007;0.203524535651;0.000637027856067;39.9461549707;26.0
7;0.8;4.87337520126;0.00344416583181;0.188963706854;0.000662888245393;37.7814117486;31.0
8;0.9;5.05715633344;0.00269029078722;0.180740524485;0.00048780190678;36.6006682817;32.0
9;1.0;5.18783393732;0.00970323602508;0.208799264951;0.0022686054221;35.0887851441;25.0
10;1.1;5.39635355975;0.0105624090877;0.196727489837;0.0022966521784;33.9557424789;26.0
11;1.2;5.58907907786;0.00849099228144;0.192227095758;0.00193793185279;33.7250529514;24.0
12;1.3;5.67477533646;0.00335183574587;0.186196755248;0.000806173185904;32.0605094658;21.0
13;1.4;5.58365941378;0.00111744687705;0.175348924633;0.00024125939008;28.7739536161;23.0
14;1.5;5.37677480028;0.00779188120574;0.202349420032;0.00189140474882;21.8933175076;19.0
15;1.6;5.14079479417;0.0182140205916;0.238120383275;0.00431640785369;12.0870776475;18.0
16;1.7;5.07006682998;0.0251608628064;0.217937316296;0.00607331503898;47.8192406493;16.0
17;1.8;5.25668266376;0.0326612626039;0.204397549771;0.00876993955769;73.5933060922;13.0
18;1.9;5.49320394736;0.00674096500466;0.236826017477;0.00179606585831;3.67527552468;14.0
19;2.0;5.68840281276;0.0107926734462;0.274099034285;0.00326482346393;7.60155215224;13.0
20;2.1;5.8708044349;0.0220849406819;0.295653101035;0.006579862606;10.8893550314;13.0
21;2.2;6.07094052528;0.0154000004891;0.386658696413;0.00542016518376;23.2537477944;10.0
22;2.3;6.37290963227;0.0269363377308;0.407932194523;0.00926674498163;37.6715461649;10.0
23;2.4;6.26550079006;0.0531090570822;0.570694991016;0.0237541719888;41.1743664775;7.0
24;2.5;6.74844669139;7.88860905221e-31;1.64399294514;inf;67.2857211048;1.0
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
