;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;11.8813094111;0.609006109554;0.640017202028;0.155441618025;165.096612833;18.0
1;0.2;11.5551278978;1.2371654559;0.410717852874;0.243369005703;207.70762139;26.0
2;0.3;12.0664160266;1.47108519645;0.394433287107;0.269241281245;232.730143267;28.0
3;0.4;12.3174268946;0.876253574063;0.380124747297;0.189982516132;198.08721175;23.0
4;0.5;11.574832224;0.491466974971;0.399460018996;0.113845331631;203.859923023;22.0
5;0.6;10.9843211692;0.235498191621;0.388368324955;0.0543353825152;192.626832231;23.0
6;0.7;10.4324653564;0.214542870549;0.420548264646;0.054158130713;187.843538797;21.0
7;0.8;10.6856412801;0.841533027614;0.414655748835;0.18122139;205.67318544;24.0
8;0.9;10.3543728169;1.08012691239;0.418585630845;0.23689610686;180.211360662;23.0
9;1.0;10.0033322574;1.4095618729;0.504802068792;0.41702105458;148.651758233;15.0
10;1.1;7.33463771593;0.0666366336761;0.524306766145;0.0215842495862;23.4630671031;12.0
11;1.2;6.90419334037;0.156971914779;0.638623764029;0.0688055989613;35.0877120509;9.0
12;1.3;6.99134521667;0.0;1.92731063502;-9999;20.9253454104;1.0
13;-9999;-9999;-9999;-9999;-9999;-9999;-9999
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;-9999;-9999;-9999;-9999;-9999;-9999;-9999
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
