;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;12.0056643392;0.248086590192;0.429988005816;0.0515966393056;44.0158751264;28.0
1;0.2;15.0015113155;0.199044570514;0.300276096634;0.0354118411463;40.9358798242;32.0
2;0.3;16.4168135176;0.0457649482838;0.25474738944;0.00843684371831;38.5073283118;31.0
3;0.4;14.9220938281;0.0974649053037;0.269094377344;0.018036722858;38.1970388924;32.0
4;0.5;12.9199632008;0.110829205226;0.297663958934;0.0213658548469;37.4515006712;31.0
5;0.6;11.2894618513;0.147299954047;0.309089098391;0.0282242173582;35.5029135484;31.0
6;0.7;10.0897651996;0.19047777575;0.334173183125;0.0389639925556;34.9159663058;27.0
7;0.8;9.10011071554;0.192784802927;0.351229091196;0.0378043559844;35.3336171198;28.0
8;0.9;8.18620629545;0.128065444485;0.358486581526;0.0242269516427;35.7418338936;29.0
9;1.0;7.70547333208;0.131137673521;0.422724150624;0.0298929824275;35.3426695165;21.0
10;1.1;6.94778580539;0.0875247131414;0.499709463077;0.0220284492603;33.3421425418;17.0
11;1.2;6.2684840963;0.185469343622;0.845953404306;0.0894308134562;32.2056922125;6.0
12;1.3;6.10376230094;0.00485863444256;0.883186031377;0.0026903747091;35.7303353759;5.0
13;1.4;5.77992117772;0.00341227017508;1.09236215212;0.00296163187249;40.5845094466;3.0
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;-9999;-9999;-9999;-9999;-9999;-9999;-9999
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
