;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;4.94261718891;0.012695509095;0.398423872705;0.00395474273487;21.2528410968;12.0
1;0.2;5.22644730112;0.0224428524204;0.227993021857;0.00451287107153;18.2002616145;28.0
2;0.3;6.72667009466;0.0644488218886;0.18136487673;0.0124896047994;13.8199566489;29.0
3;0.4;7.74170723638;0.00880212766235;0.121070727091;0.00186581160636;12.9203065575;33.0
4;0.5;7.54995666129;0.0222690549188;0.124084909194;0.00400767584544;12.5896493914;33.0
5;0.6;7.02070356556;0.0500461370298;0.136918463123;0.00874845100265;10.7721334228;33.0
6;0.7;6.51511390755;0.0502129612695;0.145946345821;0.0095726541382;23.5270099336;29.0
7;0.8;5.94243791233;0.0435177363155;0.126637861945;0.00772875098056;112.02785244;33.0
8;0.9;5.51390563461;0.0240004310457;0.116782430468;0.00469153486918;162.762330461;33.0
9;1.0;5.22787956494;0.0212097207709;0.147983532256;0.00483034725855;254.68660066;25.0
10;1.1;4.77986983289;0.0124695196931;0.167185435292;0.0025416039679;330.296068693;26.0
11;1.2;4.73716131575;0.0112215521391;0.178554259211;0.00239076963326;124.406786925;24.0
12;1.3;4.8483249956;0.0113275891683;0.185596731398;0.00255221352478;8.94891297139;21.0
13;1.4;5.08741109936;0.0264852993836;0.173987966996;0.00573777048024;14.2117079365;23.0
14;1.5;5.64873545049;0.0558364734224;0.180949142875;0.0140044209752;23.7259815639;19.0
15;1.6;6.08034345281;0.0572769485526;0.177814891003;0.0149798845659;26.172514123;18.0
16;1.7;6.66648994604;0.07114312413;0.188222319148;0.0201196562644;32.1134797699;16.0
17;1.8;7.1153137293;0.0385396403431;0.22653577563;0.0129001511319;37.6786247774;12.0
18;1.9;7.14043305346;0.0232305671231;0.247096087767;0.00801500847349;39.4819585643;11.0
19;2.0;7.22349445844;0.0106261526949;0.31718806288;0.00396189620827;43.0436919922;9.0
20;2.1;7.11183373067;0.012246525914;0.379850137445;0.00617923841411;42.411069099;6.0
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
