;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;9.493114482;0.0991728360929;0.373561227341;0.0221367089658;64.2670673127;27.0
1;0.2;11.2754710287;0.0722234546358;0.245695973553;0.0133592310818;55.6762272485;32.0
2;0.3;11.6728088281;0.0306699226658;0.236802107866;0.00594238017441;52.5975662265;31.0
3;0.4;11.0213530559;0.0193679740426;0.230729145607;0.00396801069018;52.120825835;32.0
4;0.5;10.4352696188;0.0215083295485;0.235361566112;0.00407185804647;53.9283790265;31.0
5;0.6;10.0559253002;0.0285396231426;0.258387905426;0.00539254272225;55.9828903567;31.0
6;0.7;9.61456354;0.0267769235533;0.284904192248;0.00523077682296;58.0910130644;27.0
7;0.8;9.24978299571;0.0172799563156;0.261688079057;0.00318179027475;59.140409396;31.0
8;0.9;8.68804270211;0.01736040205;0.265756453498;0.00342455220024;60.590888697;32.0
9;1.0;8.37326599541;0.0162696438899;0.317347834186;0.00381225762313;61.43298909;22.0
10;1.1;7.94711540747;0.0127163997851;0.349253933364;0.00292687153129;62.0770273942;22.0
11;1.2;7.44270701661;0.0185569456944;0.389058814437;0.00443935057033;61.6896357929;19.0
12;1.3;6.73176499023;0.014581635199;0.464536460402;0.00378977619;62.8776685891;17.0
13;1.4;6.22699734782;0.0358077438951;0.58097854338;0.0118602337635;66.2032856079;11.0
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;1.6;6.28747256951;0.0159246801103;1.54138442801;0.0225159477223;116.720337387;2.0
16;1.7;7.07531076765;0.0754808537295;0.924604189595;0.0421371071707;127.169640988;5.0
17;1.8;7.47988955663;0.0700379176993;0.998685424378;0.0471114748471;131.834016564;4.0
18;1.9;7.50210344031;0.0237543545603;1.23933963427;0.0209627815883;135.196941962;3.0
19;2.0;7.9210784649;0.0262809264896;1.09979404017;0.0175060281566;139.228961399;4.0
20;2.1;7.72789154852;0.0482449709365;1.10047288206;0.0335522864897;145.147950249;4.0
21;2.2;8.6755263641;0.0621075512747;1.83309746786;0.0878577933234;156.033707044;2.0
22;2.3;9.5546794016;0.0;2.21358005301;-9999;168.038390229;1.0
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;2.5;10.3750928523;0.0463784038036;2.26612181484;0.0654818411208;191.612326358;2.0
25;2.6;9.57071412939;0.000344650880126;2.21156403468;0.000487491673255;202.969457409;2.0
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
