;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;5.30386992623;0.0013537687602;0.380250883627;0.000411813191528;19.7227101839;13.0
1;0.2;5.1817084344;0.00379066676896;0.206578107674;0.000779474895807;19.1243686237;28.0
2;0.3;5.72801192054;0.0277655555562;0.183639937343;0.00541097018346;17.2492034166;30.0
3;0.4;6.72174129728;0.0204737425615;0.163674283498;0.00428866879939;16.4836498972;31.0
4;0.5;6.98181176571;0.00938995059442;0.148928254998;0.00186714875232;16.0449049214;32.0
5;0.6;6.62376012683;0.0254067628096;0.146176614446;0.00451657662015;14.1282641385;33.0
6;0.7;6.08552723516;0.0410779029641;0.148810620698;0.00771722444824;10.128368098;29.0
7;0.8;5.51340547454;0.0547944053885;0.132689711065;0.00966462856678;56.9568797238;33.0
8;0.9;5.03711981623;0.0216095761044;0.117836830627;0.00408431305637;175.789623102;33.0
9;1.0;4.73251615307;0.0103804444357;0.137801042664;0.00250609337296;253.94767773;25.0
10;1.1;4.29860340344;0.00552002148012;0.154214246461;0.00107593273099;299.930938232;26.0
11;1.2;4.23077388199;0.00988515999093;0.182718361587;0.00218911362293;43.108079648;24.0
12;1.3;4.34043614224;0.027224105655;0.189355061282;0.00577287632106;11.1270463147;21.0
13;1.4;4.62239896456;0.0694611012185;0.181132584646;0.0142519067995;16.6427347414;23.0
14;1.5;5.38163532668;0.117812337155;0.18355720562;0.0284620663194;24.788306842;19.0
15;1.6;5.76423723866;0.160980728256;0.181338751064;0.0402655934791;26.0848342595;18.0
16;1.7;6.52345408871;0.119756752735;0.172515780325;0.0336440459544;30.0443114027;16.0
17;1.8;6.99744296441;0.0370500312714;0.208274624338;0.0110151933376;35.1685744055;13.0
18;1.9;7.08154883719;0.0196221702684;0.230697145733;0.00675911533337;37.0484666048;11.0
19;2.0;7.29538139867;0.00963709948005;0.273321725529;0.00330996276996;40.3505181638;10.0
20;2.1;7.33208265371;0.00301466739007;0.298814134989;0.00105478180857;42.9718845575;10.0
21;2.2;7.25036784156;7.88860905221e-31;0.96469232058;inf;39.2021822214;1.0
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
