;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;12.2190215923;0.186240492865;0.432894253063;0.0387840816069;46.0310680205;27.0
1;0.2;15.1239048988;0.159515451726;0.296984073337;0.0294720113199;42.4307612424;31.0
2;0.3;15.9105833807;0.0343881910044;0.264554953776;0.0064399932554;40.5942810872;30.0
3;0.4;14.32741882;0.124547888794;0.277530074766;0.0235191382518;40.6109295143;30.0
4;0.5;12.3378690991;0.115462326142;0.291710330923;0.0221731947923;39.2776535652;30.0
5;0.6;10.9675721229;0.152749040624;0.286584676345;0.030084073704;37.5017129937;30.0
6;0.7;9.96658368147;0.188495968008;0.327719825745;0.0393746969868;37.0730950559;26.0
7;0.8;8.94574979692;0.164430569204;0.343301121408;0.0328046151359;36.9334139417;28.0
8;0.9;8.31132731753;0.132587909431;0.350586168044;0.0252667771445;37.6310383064;29.0
9;1.0;7.76039632254;0.119339941822;0.430658401662;0.0267876965502;36.6524460627;21.0
10;1.1;6.7666097404;0.0496882430805;0.576964603507;0.0150612183265;35.8343470475;13.0
11;1.2;6.51167183054;0.0393143975268;0.604966897567;0.0129977087424;35.0858852624;11.0
12;1.3;6.04346135276;0.0214701108635;1.01524070254;0.0142737919688;36.5392231764;4.0
13;1.4;5.87562090134;0.0;2.07730928466;-9999;45.2340475245;1.0
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;-9999;-9999;-9999;-9999;-9999;-9999;-9999
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
