;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;4.12975041302;0.00335834301518;0.745696596499;0.00295931256697;12.0304283646;3.0
1;0.2;4.14563197859;0.00609646997864;0.236514476886;0.00137118006662;15.7864699364;22.0
2;0.3;4.11473639124;0.00559284162301;0.209808111279;0.00115553307583;21.4475718484;25.0
3;0.4;4.15076444033;0.00590852396288;0.207538243987;0.00116486240491;29.504767227;27.0
4;0.5;4.26211462511;0.00940638167525;0.20411695885;0.00180126590134;35.6514358827;30.0
5;0.6;4.57114442842;0.00662232538836;0.186912259759;0.00128117169198;41.7060388322;30.0
6;0.7;4.82600916629;0.00494490877822;0.186959924061;0.00102565396923;43.8186073235;27.0
7;0.8;4.98955556131;0.00580185960882;0.165675098849;0.00117840718868;44.5938530775;31.0
8;0.9;5.1198726301;0.00681016594182;0.159026379065;0.00136315595005;43.6011049324;33.0
9;1.0;5.16245162448;0.00413047998129;0.189184859881;0.000913561989306;40.8455459209;24.0
10;1.1;5.22129632407;0.00148972589982;0.181454667491;0.000332784170266;40.1892125411;26.0
11;1.2;5.17086264679;0.00716502569108;0.185338308934;0.00175291717033;36.0259651311;24.0
12;1.3;5.08839106384;0.0129318266826;0.219498908329;0.00327076376599;30.4428265205;21.0
13;1.4;4.79202491426;0.0224003451487;0.240501542032;0.00484676336341;22.7850685968;23.0
14;1.5;4.35009169263;0.0801496923332;0.266166382922;0.0182398895702;15.0623912446;19.0
15;1.6;4.31565051165;0.126236220636;0.27909561561;0.027402398619;28.7320163675;18.0
16;1.7;4.29215446441;0.0661067918598;0.279135024478;0.0151971405694;27.3493697868;16.0
17;1.8;4.40045106339;0.0388527376977;0.282521712228;0.0110893803785;11.2901110304;13.0
18;1.9;4.83854358069;0.00926812652595;0.306701625351;0.00262795031758;14.9977094029;14.0
19;2.0;5.26276407825;0.0396883800538;0.361422341524;0.0132170865052;18.2985438744;11.0
20;2.1;5.68142542565;0.0963528206461;0.345240358993;0.0293349390555;24.18842197;13.0
21;2.2;6.1757527205;0.0787093159521;0.418217034018;0.0271299134458;33.8044513235;10.0
22;2.3;6.27948566439;0.0369459130864;0.491511519296;0.0154565042122;41.6593649957;8.0
23;2.4;6.13090343331;0.0220074148011;0.851323901777;0.0195949521082;40.0275851149;3.0
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
