;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;5.08934936471;0.0140896016353;0.363985264314;0.00390633460627;20.8860081875;15.0
1;0.2;5.21560046375;0.0082460760078;0.2139339255;0.00171296892409;22.4408311971;28.0
2;0.3;5.73164462281;0.0216127199223;0.192628483798;0.00420040402075;20.4843506356;30.0
3;0.4;6.57861778711;0.034833480496;0.176457232107;0.00706174368571;18.9061761929;32.0
4;0.5;6.84568364676;0.00545962064181;0.155973415324;0.00107888441516;17.7693228952;32.0
5;0.6;6.48775265831;0.0228812909675;0.148372218175;0.00405134322174;15.496731493;33.0
6;0.7;5.96290730463;0.0461456288572;0.150856013623;0.00864601874746;11.2785234615;29.0
7;0.8;5.2612158627;0.0490488603409;0.136198809244;0.00872114848239;44.0900583294;33.0
8;0.9;4.76367233925;0.0180502351072;0.118926324129;0.00342281843515;162.83938839;33.0
9;1.0;4.53508511072;0.0153534147558;0.135500515494;0.00362386904095;254.452245241;25.0
10;1.1;4.10274371393;0.00205670597118;0.157252830889;0.000391196272956;311.011158244;26.0
11;1.2;4.07552252355;0.00611929604519;0.180692557886;0.00124565124096;66.420604414;24.0
12;1.3;4.23820260569;0.0285239789765;0.188882787235;0.00600057403399;11.4334797472;21.0
13;1.4;4.59234240047;0.0637469906848;0.172200775196;0.0131356514897;16.8632159548;23.0
14;1.5;5.38781651415;0.0957434498693;0.176510361228;0.0240585742503;24.9330726548;19.0
15;1.6;5.88401787866;0.113138869965;0.172176975266;0.0301855000029;26.15549539;18.0
16;1.7;6.58824353957;0.0690206377683;0.171835264358;0.0195049508441;30.0429926163;16.0
17;1.8;7.07109705152;0.0128666854749;0.21231800477;0.0039709258903;34.7672875556;13.0
18;1.9;7.21321796348;0.00618529383556;0.220507119792;0.00209760831177;36.2394651257;11.0
19;2.0;7.38522174553;0.00363215858659;0.269592547359;0.00137627974727;40.2058600846;10.0
20;2.1;7.50921949022;0.00205520183171;0.320931557994;0.000809120271418;40.1448267108;9.0
21;2.2;7.62880578551;0.0144846793141;0.721725894499;0.0205369622255;39.8316295099;2.0
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
