;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;9.94880985195;0.415181163495;0.767307657735;0.143336894561;21.791329307;12.0
1;0.2;10.4877696417;0.152234157999;0.267633485594;0.0377341234829;16.8821229722;29.0
2;0.3;11.38345018;0.0388793534306;0.143329007601;0.0105564475646;18.0506127249;33.0
3;0.4;11.3864435998;0.0171277229601;0.101458173287;0.00351149438854;18.4679176492;33.0
4;0.5;10.8797436293;0.0436874979619;0.08649494905;0.00774517268253;17.5319287039;33.0
5;0.6;10.1040917325;0.0936130207789;0.100609503787;0.0172923074171;15.3335042357;33.0
6;0.7;9.44010122458;0.174965273408;0.116470504033;0.0334057516433;12.7660924889;29.0
7;0.8;8.82233798448;0.274003563584;0.108094107737;0.0495313619819;10.1712276477;33.0
8;0.9;8.11341171146;0.299138439602;0.102168893393;0.0570918817446;7.87017955111;33.0
9;1.0;7.44185749439;0.378088743292;0.122855168615;0.0930643074051;7.12955365097;25.0
10;1.1;6.32027524328;0.140799708672;0.12234274547;0.0351834052309;7.35296232794;23.0
11;1.2;5.90139890169;0.105194127394;0.141102908378;0.0272411305135;9.16844700085;21.0
12;1.3;5.77081799365;0.0497156121375;0.169635091617;0.0122464350808;11.5515317764;19.0
13;1.4;5.65559477009;0.0224447567942;0.19064466445;0.00567757170112;14.6773157113;18.0
14;1.5;5.49738654066;0.00938366936592;0.241177362233;0.00334308225615;23.4075985544;13.0
15;1.6;5.54953448162;0.00336427389051;0.251456634519;0.00124512669888;26.7868573267;13.0
16;1.7;5.53120274171;1.11862983553e-05;0.626635329714;1.58257729923e-05;21.4337580222;2.0
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
