;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;12.2450082359;0.056656214987;0.444367187734;0.0121922109636;26.593329194;27.0
1;0.2;13.4132301867;0.387406598432;0.357406600083;0.0828674825606;35.5193765437;28.0
2;0.3;14.4674496312;0.416036544889;0.310338153174;0.0972279227607;33.708748416;29.0
3;0.4;14.0457957297;0.179362750623;0.304070819735;0.0418624635993;29.6906046635;28.0
4;0.5;12.7544492967;0.0653548751085;0.304118559979;0.0139972734599;24.1305105909;25.0
5;0.6;11.4314008113;0.143555482225;0.2757378099;0.033218702796;26.1790448223;27.0
6;0.7;10.574630475;0.150549612961;0.307314942806;0.0334662406267;22.7923597362;23.0
7;0.8;9.6531653509;0.215647257664;0.316317102031;0.0452402327206;23.1881129386;25.0
8;0.9;8.79591692912;0.311000169653;0.318090496859;0.0636835297776;24.3500354661;26.0
9;1.0;8.16105561391;0.381532838075;0.38482705792;0.0942518379805;25.8802571859;19.0
10;1.1;6.97179247653;0.110489828695;0.428053370176;0.0276395397123;26.9873870763;18.0
11;1.2;6.84074519862;0.0546734944406;0.581271207306;0.0180772563576;25.7005152423;11.0
12;1.3;6.64636691182;0.0735651445774;0.628664099904;0.0300811606489;25.6316299878;8.0
13;1.4;6.3826279396;0.132493392292;0.908541455262;0.089464609134;29.8573086957;4.0
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;-9999;-9999;-9999;-9999;-9999;-9999;-9999
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
