;ht;spd;rmse;rmse2;rmse3;di;rings
0;-9999;-9999;-9999;-9999;-9999;-9999;-9999
1;-9999;-9999;-9999;-9999;-9999;-9999;-9999
2;0.3;4.420309224;0.00253456024359;0.353450881473;0.000680138267717;28.6788406848;16.0
3;0.4;4.73453715181;0.00421392719841;0.259794172;0.000872991282479;34.0467429535;25.0
4;0.5;5.14016608227;0.00855329888863;0.24281112989;0.00183889544233;37.5209979869;26.0
5;0.6;5.56735654414;0.00356405318874;0.215317546633;0.000724267382782;40.7317569153;28.0
6;0.7;5.78267267622;0.00439312048377;0.210921854627;0.00102743372988;42.793567141;25.0
7;0.8;5.96011622564;0.00371968779547;0.187988414415;0.000796152699733;44.9693997698;28.0
8;0.9;5.97421872788;0.0092260620378;0.181769378364;0.00196753691854;46.7762250154;30.0
9;1.0;5.92359480433;0.0215818168147;0.220811763773;0.0056260517706;46.9324184423;22.0
10;1.1;5.73239702794;0.0179650957628;0.257489653691;0.00448565314152;46.5950331355;23.0
11;1.2;5.38807440034;0.0279168080531;0.286976711198;0.00689782275152;41.4903735452;20.0
12;1.3;5.44861881944;0.106393119518;0.323905331276;0.0344513763871;38.6885506034;20.0
13;1.4;5.45177500923;0.103163851218;0.314025038213;0.03320631012;36.0670397308;21.0
14;1.5;5.57325259755;0.197008351516;0.357714744924;0.0754864493491;36.5297407166;15.0
15;1.6;5.84667491307;0.122703332455;0.3389644559;0.0490797996922;33.3561431173;16.0
16;1.7;6.04142596287;0.0323432498929;0.334176489054;0.00895962008831;27.6505581932;15.0
17;1.8;6.86948848639;0.189038866726;0.35614019959;0.0737026036967;36.6205548219;12.0
18;1.9;7.2407503636;0.162732128092;0.352127122689;0.0590344817145;34.4920012175;13.0
19;2.0;7.43146020804;0.0164044698572;0.383059183335;0.00581318377902;26.5374741265;10.0
20;2.1;7.45463276315;0.0208209725899;0.449672778892;0.00906258751064;26.7466162448;8.0
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;2.6;10.5070709732;0.0;3.40150647012;-9999;318.347909488;1.0
26;2.7;11.5405419353;0.0;3.42844106129;-9999;316.782355422;1.0
27;2.8;12.5033027243;0.0;3.4767097008;-9999;316.203502273;1.0
28;2.9;6.76831261269;3.051093644;0.547115310726;2.86134489548;301.198076998;4.0
