;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;12.0108272151;0.155945541186;0.45408627581;0.0325297158682;38.4453985173;26.0
1;0.2;14.6953104044;0.210787839635;0.326677236891;0.0399578817456;35.3434567958;28.0
2;0.3;16.0657876576;0.0383458349616;0.258797060614;0.00748738542244;34.7154914052;28.0
3;0.4;15.4199167122;0.0355466811542;0.251074918221;0.00692437464616;34.0226646198;28.0
4;0.5;13.8563866383;0.0585596036132;0.277436111948;0.0116360878091;33.4564948286;27.0
5;0.6;12.2009966795;0.0765605622798;0.307161540095;0.015162925927;32.2517791328;28.0
6;0.7;10.8638605899;0.186163920898;0.358038151801;0.0405112111496;30.5511893754;24.0
7;0.8;9.6914009931;0.216273830273;0.335511467406;0.0433861220318;30.3006883671;27.0
8;0.9;8.74040212978;0.218060211433;0.351504589762;0.0441471042318;30.5831132312;26.0
9;1.0;8.13884397491;0.27490730497;0.449973185593;0.0650359619166;30.5889179803;19.0
10;1.1;6.90000895208;0.0565499685497;0.509050979766;0.014459267198;28.7938115637;17.0
11;1.2;6.21534984994;0.093842958378;1.16700768153;0.0787190008952;30.5954346319;3.0
12;1.3;6.29023485172;0.0172501428035;0.895828140756;0.0097415147387;31.606281664;5.0
13;1.4;5.87525280636;0.0011800133225;1.34220480304;0.00166749236797;33.4654485239;2.0
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;-9999;-9999;-9999;-9999;-9999;-9999;-9999
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;2.2;9.44327329387;0.773880823966;1.82624050583;1.0941194841;179.744784145;2.0
22;2.3;11.7105916662;0.00860646717022;1.45477031083;0.0121750146869;191.32787895;2.0
23;2.4;11.7799821303;0.0;1.95145955004;-9999;195.113284528;1.0
24;2.5;10.9566645579;0.00223825356517;1.24773102226;0.00316549438814;197.650389458;2.0
25;2.6;10.2977889916;0.0;2.26567826642;-9999;190.642383949;1.0
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
