;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;8.64734113267;0.0903111749762;0.309125045552;0.0295621428632;21.3922825994;19.0
1;0.2;8.9232159184;0.0391210383567;0.150927089203;0.00906920450942;14.981924498;32.0
2;0.3;9.92692146171;0.0573698054491;0.136110146789;0.00969040388;14.0770051684;33.0
3;0.4;10.3643330975;0.0191047318405;0.118893578887;0.00333886131356;16.1823803102;33.0
4;0.5;9.85817333936;0.0562171143144;0.133508830769;0.00934498206692;15.2685890595;33.0
5;0.6;9.18662447299;0.0772590193592;0.145409455743;0.0124985233251;13.1697926392;33.0
6;0.7;8.61688910946;0.0961394677515;0.139681740048;0.0179434986772;10.9751071516;29.0
7;0.8;7.99426934202;0.110107470159;0.112815142021;0.0193914981082;26.0104373453;33.0
8;0.9;7.34146526858;0.10790223635;0.102992753221;0.0195183517928;57.4852194638;33.0
9;1.0;6.74205456305;0.126743926959;0.122115498705;0.0283631774853;48.1248080158;25.0
10;1.1;5.75090351465;0.0620570782314;0.112467010608;0.0141343204275;4.26198502761;26.0
11;1.2;5.3759262168;0.0475657690201;0.116781157271;0.0118201595152;8.03972155432;24.0
12;1.3;5.21605982043;0.0237861399052;0.126496757076;0.00588779667517;12.1316744481;21.0
13;1.4;5.18597723264;0.0112233905442;0.129156488934;0.00270465612995;16.5571432899;22.0
14;1.5;5.27087100673;0.0133705203169;0.157445678854;0.00410777422677;24.4712905417;16.0
15;1.6;5.30990268046;0.014353241723;0.168234642368;0.00481945917039;27.2250272838;15.0
16;1.7;5.49573822864;0.0285385424692;0.206521539706;0.00959010578415;34.5112079821;14.0
17;1.8;5.68703510472;0.0373965441158;0.317129428581;0.0177740070613;42.6623594384;8.0
18;1.9;5.7991227767;0.0108821940711;0.337963425444;0.00578996040207;46.930940509;7.0
19;2.0;5.90046348065;0.00310347829822;0.531987002391;0.00270968044999;50.0111230036;3.0
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
