;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;9.49168525378;0.0362172143827;0.366800131244;0.00935200159829;96.609879214;25.0
1;0.2;9.51036209734;0.0089912646322;0.256506872475;0.00188825388403;85.1321133744;32.0
2;0.3;9.68131159106;0.12236742528;0.257681174236;0.0358476177235;78.4976868958;32.0
3;0.4;9.80996742416;0.159545971014;0.254515108593;0.0419556078204;73.9856478985;33.0
4;0.5;9.87142743751;0.156522533145;0.237548858813;0.0434507597655;72.1648491039;32.0
5;0.6;9.65229258112;0.167388789829;0.236528999927;0.0459516340091;72.06156839;32.0
6;0.7;9.32179605884;0.238597841544;0.270974550147;0.0723329879658;70.7973893297;27.0
7;0.8;9.39737829122;0.204059318551;0.252666205295;0.0702388888367;70.811966802;25.0
8;0.9;9.09491298682;0.205739152809;0.263572163318;0.0683817114424;70.78489807;26.0
9;1.0;8.78830690174;0.344160519213;0.329291355519;0.126827199961;71.3298176051;20.0
10;1.1;8.33044340865;0.271966075965;0.337392433668;0.08430725749;71.4875861867;25.0
11;1.2;7.57985209148;0.377458433888;0.417492900681;0.123166293571;72.3366019143;22.0
12;1.3;7.13547978574;0.34021953365;0.418266544431;0.126622030167;76.2768317278;20.0
13;1.4;6.57240209468;0.237462780905;0.409219619101;0.0841531314794;83.5491256627;20.0
14;1.5;6.34470511676;0.361829964157;0.544031887507;0.157473903413;96.9251319597;12.0
15;1.6;6.76111118437;0.332059999168;0.742696822944;0.161367862749;117.355645132;8.0
16;1.7;7.36110018032;0.0154124566602;0.802475501912;0.00743245387572;130.60682043;6.0
17;1.8;7.40472674134;0.0122712664258;0.825572910204;0.00668705209586;137.258291603;5.0
18;1.9;7.03688920727;0.0231485776625;0.818008050398;0.011234052248;137.129886513;6.0
19;2.0;7.38353124757;0.0686430924212;1.02544108338;0.0460365148691;141.794864176;4.0
20;2.1;7.54020435532;0.0142140383517;1.131519351;0.00954553941903;150.485045438;4.0
21;2.2;8.28471616099;0.0406236060863;1.44746143604;0.0352296055687;158.400409723;3.0
22;2.3;9.60381103893;0.0103281391667;1.86854401968;0.0145981491732;168.229888087;2.0
23;2.4;10.3066202528;0.0;2.65893790449;-9999;177.008262265;1.0
24;2.5;10.3569240456;0.0;2.94604906812;-9999;185.011053239;1.0
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
