;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.1;10.4900275913;0.145133555724;0.386879119543;0.0325562419028;57.3377129283;27.0
1;0.2;12.1828174478;0.0479578718348;0.249929710856;0.00986268579637;52.0206920498;32.0
2;0.3;12.4015918957;0.0170100326312;0.249952033998;0.00356197883273;49.8108273414;31.0
3;0.4;11.7079016338;0.0354945489318;0.257245885536;0.00740822917085;49.5544876703;32.0
4;0.5;10.941791792;0.0658246952578;0.261352239792;0.0126335339711;50.2841024595;31.0
5;0.6;10.2896114353;0.09931518836;0.268803295132;0.0191304126743;51.3135549988;30.0
6;0.7;9.73026637093;0.0997495452043;0.292631664088;0.0206669772339;52.1643874023;26.0
7;0.8;9.09046497533;0.0455028990188;0.270241367929;0.00878135071985;52.9395552612;29.0
8;0.9;8.55412674378;0.0311942646826;0.27813402529;0.00583275295186;53.6157743745;31.0
9;1.0;8.19670528895;0.0320897591304;0.347112499836;0.00709835155382;53.9341235754;22.0
10;1.1;7.58756484538;0.0087693929212;0.374372408433;0.0021015907783;54.6490702969;22.0
11;1.2;7.12068930043;0.0183562719013;0.409131353668;0.00447289565307;54.1556642637;19.0
12;1.3;6.46780495203;0.019712876841;0.476323590159;0.00540789539279;55.1899537802;15.0
13;1.4;6.12550223531;0.0565435735995;0.685523671517;0.0247914350413;56.1342911232;7.0
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;1.7;6.74219675853;0.0405599588596;1.52745850786;0.0568498452265;130.416640003;2.0
17;1.8;7.47754928546;0.000788530865528;1.4772747025;0.00111536435045;132.786271412;2.0
18;1.9;7.42439504567;0.00243420599478;1.74755960386;0.00344489336957;138.465407031;2.0
19;2.0;8.01085200096;0.189964176308;1.49282223376;0.167581761518;142.787683566;3.0
20;2.1;7.98376616867;0.415547148455;1.93728035648;0.595004101474;146.637233737;2.0
21;2.2;8.68926074962;0.0237325705713;1.90127272951;0.0335270833358;160.786624879;2.0
22;2.3;10.0553297766;0.22785364514;2.05157301203;0.322309315937;174.90787143;2.0
23;2.4;11.0500237254;0.0;2.25781067345;-9999;191.215695693;1.0
24;2.5;11.3026815324;0.000193219698959;1.56425278061;0.000273287127243;199.387724981;2.0
25;2.6;11.0654323623;0.00134929837175;2.13011366716;0.00190455260955;207.283107215;2.0
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
