;ht;spd;rmse;rmse2;rmse3;di;rings
0;-9999;-9999;-9999;-9999;-9999;-9999;-9999
1;0.2;3.95289316675;0.0128967180256;0.354700472187;0.00403878599662;26.7964907438;12.0
2;0.3;4.07512049551;0.0060604311457;0.25305007768;0.00136857058081;35.8821798194;22.0
3;0.4;4.26910061833;0.00803349570214;0.22668121551;0.00157357887258;42.7333011375;28.0
4;0.5;4.69473934716;0.00646533202083;0.214209925881;0.00125320590707;47.4147964958;28.0
5;0.6;5.04739986232;0.00299510207679;0.192983877059;0.000579134132039;50.01642435;30.0
6;0.7;5.19871028642;0.00662156643593;0.18457742185;0.00144079100302;49.8962676739;27.0
7;0.8;5.2956083436;0.00728387866537;0.166380359044;0.00147816819806;50.142162522;31.0
8;0.9;5.3433969148;0.00718930396102;0.160839699726;0.00141548488621;48.90881296;33.0
9;1.0;5.25849206557;0.00627808032553;0.190969890384;0.00142539966043;46.0814826844;24.0
10;1.1;5.19527817327;0.00842031775405;0.192516701815;0.00186722554026;43.6699073979;25.0
11;1.2;4.9418912586;0.00460131364504;0.219720479895;0.00103466918891;37.210129281;23.0
12;1.3;4.76146001629;0.00786798453985;0.290357517971;0.00184373570776;29.4361602173;20.0
13;1.4;4.61400373236;0.0197631577112;0.293297271452;0.00414856424776;23.6234250853;22.0
14;1.5;4.41869530892;0.0691787792891;0.312245110508;0.0156707863685;21.5067003983;18.0
15;1.6;4.56573682132;0.0860993141015;0.305084880282;0.0191471776529;20.3720324508;17.0
16;1.7;4.79969863792;0.0203612245753;0.292335849796;0.00495880402526;21.9237820961;16.0
17;1.8;5.06810659931;0.0300371621739;0.324570849584;0.00908024109002;23.8777228328;13.0
18;1.9;5.48269813228;0.0384062761564;0.327243127472;0.0118048402656;25.6858120565;13.0
19;2.0;5.97940270706;0.122447733735;0.334754928691;0.0420888375187;28.606774671;11.0
20;2.1;6.26065420956;0.105659626517;0.303663405051;0.031565370425;32.3252053175;13.0
21;2.2;6.56545158684;0.0457935091468;0.418277378756;0.0172798802908;37.1218140411;9.0
22;2.3;6.39029568539;0.131994007839;0.735098670286;0.0932393036404;43.6027279793;4.0
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
